,Product_Name,Alcohol_Percent,Alcohol_Capcity,Alcohol_Price
118,Glendronach 12 Year Old Original,43,70cl,49.95
119,Glenlivet 12 Year Old,40,70cl,39.95
120,Lagavulin 16 Year Old,43,70cl,81.75
121,Ardbeg Heavy Vapours,46,70cl,120
122,Ledaig 18 Year Old,46.3,70cl,84.95
123,Kilchoman Machir Bay,46,70cl,44.95
124,Bunnahabhain 12 Year Old,46.3,70cl,44.75
125,Balvenie 12 Year Old DoubleWood,40,70cl,47.95
126,Laphroaig 10 Year Old Sherry Oak Finish,48,70cl,51.95
127,Macallan 12 Year Old Double Cask,40,70cl,77.45
128,Glenfiddich 15 Year Old Solera,40,20cl,12.95
129,Kilchoman Fino Sherry Cask,50,70cl,79.95
130,Oban 14 Year Old,43,70cl,76.95
131,Caol Ila 12 Year Old,43,70cl,46.95
132,Personalised Highland Special Reserve Single Malt,48,70cl,59.95
133,Dalmunach 6 Year Old,60,70cl,59.95
134,Bunnahabhain Toiteach A Dha,46.3,70cl,44.95
135,Edradour 10 Year Old,40,70cl,44.45
136,Arran 10 Year Old,46,70cl,40.95
137,Ardbeg Uigeadail,54.2,70cl,66.95
138,Glen Scotia 11 Year Old,54.7,70cl,64.95
139,Lagavulin 13 Year Old,56.1,70cl,160
140,Dalmore Port Wood Reserve,46.5,70cl,92.95
141,Port Askaig 100° Proof,57.1,70cl,56.45
142,Glenlivet 18 Year Old Batch Reserve,40,70cl,103
143,Laphroaig 10 Year Old,40,70cl,39.95
144,Talisker 10 Year Old,45.8,70cl,44.95
145,Aberlour 11 Year Old,49.4,70cl,69.95
146,Lagavulin 2006 Distillers Edition,43,70cl,105
147,Smokehead Unfiltered,46,70cl,37.45
148,Mortlach 12 Year Old,43.4,70cl,54.95
149,Port Charlotte 10 Year Old,50,70cl,56.25
150,Balvenie 14 Year Old,43,70cl,65.95
151,Glenfiddich 21 Year Old,40,70cl,173
152,Glenfarclas 15 Year Old,46,70cl,73.45
153,Bunnahabhain 12 Year Old Cask Strength,56.6,70cl,76.95
154,Nc'nean Organic Single Malt,46,70cl,48.75
155,Dalmore 15 Year Old,40,70cl,106
156,Dalwhinnie 15 Year Old,43,70cl,44.95
157,Ben Nevis 10 Year Old,46,70cl,56.25
158,Laphroaig 10 Year Old,56.5,70cl,75.75
